Transaction_ID,Customer_Age,Gender,Category,Total_Amount
TXN_1093,18.0,Male,Books,200.82
TXN_1094,42.0,Female,Clothing,266.68
TXN_1095,24.0,Male,Home,37.78
TXN_1096,26.0,Male,Books,95.65
TXN_1097,41.0,Female,Home,372.95
TXN_1098,18.0,Female,Electronics,55.16
TXN_1099,61.0,Male,Clothing,307.53
TXN_1100,25.0,Female,Electronics,133.99
TXN_1101,41.0,Female,Electronics,203.81
TXN_1102,28.0,Male,Electronics,155.02
TXN_1103,34.0,Female,Electronics,187.5
TXN_1104,25.0,Male,Clothing,363.74
TXN_1105,52.0,Female,Electronics,159.1
TXN_1106,52.0,Male,Clothing,289.71
TXN_1107,50.0,Male,Clothing,245.88
TXN_1108,22.0,Male,Home,336.88
TXN_1109,59.0,Female,Books,469.36
TXN_1110,56.0,Male,Books,370.3
TXN_1111,58.0,Female,Clothing,119.25
TXN_1112,45.0,Male,Home,30.12
TXN_1113,24.0,Male,Clothing,142.2
TXN_1114,26.0,Female,Clothing,303.61
TXN_1115,25.0,Male,Clothing,39.94
TXN_1116,29.0,Male,Home,255.74
TXN_1117,51.0,Female,Books,304.47
TXN_1118,50.0,Male,Home,177.11
TXN_1119,40.0,Male,Electronics,388.89
TXN_1120,41.0,Male,Home,66.7
TXN_1121,54.0,Male,Home,51.44
TXN_1122,52.0,Female,Home,368.17
TXN_1123,61.0,Female,Home,255.31
TXN_1124,57.0,Male,Books,348.88
TXN_1125,39.0,Female,Electronics,225.89
TXN_1126,44.0,Male,Books,134.5
TXN_1127,52.0,Female,Books,412.26
TXN_1128,18.0,Male,Home,402.72
TXN_1129,52.0,Male,Clothing,351.93
TXN_1130,54.0,Male,Clothing,146.99
TXN_1131,64.0,Male,Books,301.26
TXN_1132,31.0,Male,Books,190.07
TXN_1133,20.0,Male,Home,59.42
TXN_1134,18.0,Female,Books,459.9
TXN_1135,22.0,Male,Home,81.36
TXN_1136,43.0,Female,Clothing,475.87
TXN_1137,31.0,Male,Clothing,231.31
TXN_1138,56.0,Female,Electronics,104.79
TXN_1139,44.0,Female,Clothing,277.82
TXN_1140,26.0,Female,Books,438.38
TXN_1141,32.0,Male,Clothing,370.13
TXN_1142,32.0,Male,Home,406.18
TXN_1143,43.0,Female,Clothing,334.51
TXN_1144,59.0,Male,Electronics,350.75
TXN_1145,30.0,Female,Clothing,426.86
TXN_1146,49.0,Male,Home,136.09
TXN_1147,56.0,Female,Home,252.37
TXN_1148,49.0,Female,Books,122.29
TXN_1149,21.0,Male,Clothing,494.02
TXN_1150,47.0,Female,Home,472.87
TXN_1151,54.0,Male,Electronics,34.12
TXN_1152,40.0,Female,Books,357.2
TXN_1153,56.0,Female,Electronics,463.75
TXN_1154,62.0,Male,Clothing,102.58
TXN_1155,32.0,Male,Clothing,290.45
TXN_1156,60.0,Male,Clothing,459.01
TXN_1157,46.0,Female,Books,31.46
TXN_1158,53.0,Male,Home,353.25
TXN_1159,30.0,Female,Books,159.21
TXN_1160,49.0,Female,Electronics,463.33
TXN_1161,24.0,Male,Books,485.96
TXN_1162,39.0,Male,Electronics,472.97
TXN_1163,45.0,Female,Books,244.99
TXN_1164,19.0,Female,Home,433.09
TXN_1165,59.0,Male,Electronics,424.61
TXN_1166,62.0,Male,Clothing,169.76
TXN_1167,23.0,Male,Clothing,417.02
TXN_1168,45.0,Male,Books,32.95
TXN_1169,45.0,Male,Clothing,304.19
TXN_1170,61.0,Female,Electronics,126.55
TXN_1171,61.0,Female,Clothing,73.47
TXN_1172,37.0,Female,Home,52.32
TXN_1173,47.0,Female,Home,352.7
TXN_1174,28.0,Male,Books,179.84
TXN_1175,45.0,Male,Electronics,366.51
TXN_1176,42.0,Male,Home,46.7
TXN_1177,56.0,Female,Home,167.92
TXN_1178,50.0,Female,Electronics,276.65
TXN_1179,18.0,Male,Clothing,398.5
TXN_1180,44.0,Male,Clothing,169.59
TXN_1181,30.0,Female,Books,318.56
TXN_1182,58.0,Female,Clothing,444.7
TXN_1183,20.0,Male,Electronics,313.69
TXN_1184,56.0,Male,Home,127.99
TXN_1185,23.0,Female,Clothing,26.83
TXN_1186,25.0,Male,Books,437.0
TXN_1187,44.0,Male,Clothing,25.32
TXN_1188,26.0,Male,Electronics,439.23
TXN_1189,54.0,Female,Books,271.53
TXN_1190,50.0,Female,Clothing,470.45
TXN_1191,59.0,Female,Books,402.41
TXN_1192,61.0,Female,Electronics,499.0
TXN_1193,41.0,Female,Home,185.1
TXN_1194,32.0,Female,Electronics,387.09
TXN_1195,49.0,Female,Electronics,209.94
TXN_1196,49.0,Male,Electronics,247.74
TXN_1197,41.0,Male,Electronics,319.34
TXN_1198,58.0,Male,Home,438.73
TXN_1199,29.0,Male,Home,492.28
TXN_1200,56.0,Male,Books,387.61
TXN_1201,19.0,Male,Clothing,217.62
TXN_1202,20.0,Male,Home,219.36
TXN_1203,54.0,Female,Home,372.73
TXN_1204,34.0,Female,Clothing,130.81
TXN_1205,19.0,Male,Home,68.58
TXN_1206,19.0,Male,Electronics,186.99
TXN_1207,45.0,Female,Electronics,154.31
TXN_1208,40.0,Male,Clothing,158.71
TXN_1209,54.0,Male,Books,128.3
TXN_1210,49.0,Female,Books,35.42
TXN_1211,50.0,Male,Clothing,23.67
TXN_1212,18.0,Female,Clothing,494.05
TXN_1213,36.0,Male,Electronics,222.47
TXN_1214,19.0,Female,Books,201.4
TXN_1215,61.0,Female,Home,344.63
TXN_1216,43.0,Female,Electronics,120.85
TXN_1217,49.0,Male,Clothing,475.73
TXN_1218,23.0,Female,Books,396.38
TXN_1219,49.0,Male,Home,58.36
TXN_1220,21.0,Male,Home,217.53
TXN_1221,28.0,Male,Electronics,441.37
TXN_1222,34.0,Male,Books,473.2
TXN_1223,55.0,Female,Books,241.69
TXN_1224,41.0,Female,Clothing,312.5
TXN_1225,22.0,Male,Books,96.01
TXN_1226,51.0,Male,Books,495.72
TXN_1227,23.0,Female,Electronics,127.36
TXN_1228,39.0,Male,Books,472.22
TXN_1229,28.0,Female,Home,330.08
TXN_1230,33.0,Male,Electronics,309.75
TXN_1231,50.0,Male,Electronics,263.65
TXN_1232,26.0,Female,Clothing,126.87
TXN_1233,23.0,Male,Books,100.62
TXN_1234,33.0,Female,Clothing,121.94
TXN_1235,46.0,Male,Home,105.42
TXN_1236,20.0,Male,Electronics,393.1
TXN_1237,37.0,Male,Electronics,184.81
TXN_1238,53.0,Female,Electronics,43.05
TXN_1239,36.0,Male,Home,485.01
TXN_1240,43.0,Male,Home,443.64
TXN_1241,20.0,Male,Clothing,464.96
TXN_1242,36.0,Male,Clothing,497.53
TXN_1243,37.0,Female,Clothing,99.34
TXN_1244,49.0,Female,Books,207.18
TXN_1245,24.0,Male,Electronics,382.75
TXN_1246,58.0,Female,Electronics,352.57
TXN_1247,50.0,Male,Clothing,89.64
TXN_1248,57.0,Male,Electronics,410.68
TXN_1249,56.0,Male,Clothing,123.85
TXN_1250,35.0,Female,Books,123.55
TXN_1251,57.0,Female,Books,275.43
TXN_1252,18.0,Female,Home,302.58
TXN_1253,28.0,Female,Books,296.34
TXN_1254,45.0,Female,Clothing,59.37
TXN_1255,42.0,Female,Books,440.57
TXN_1256,40.0,Female,Home,143.82
TXN_1257,48.0,Female,Electronics,77.81
TXN_1258,47.0,Female,Clothing,446.04
TXN_1259,59.0,Male,Electronics,478.49
TXN_1260,52.0,Female,Home,433.13
TXN_1261,24.0,Female,Home,407.62
TXN_1262,33.0,Female,Home,332.79
TXN_1263,43.0,Female,Electronics,282.17
TXN_1264,19.0,Female,Electronics,57.19
TXN_1265,18.0,Female,Electronics,213.1
TXN_1266,29.0,Female,Electronics,195.75
TXN_1267,22.0,Female,Home,140.98
TXN_1268,54.0,Female,Home,365.86
TXN_1269,49.0,Female,Clothing,255.5
TXN_1270,26.0,Female,Clothing,54.31
TXN_1271,58.0,Male,Electronics,121.79
TXN_1272,52.0,Male,Books,346.38
TXN_1273,36.0,Female,Books,51.92
TXN_1274,33.0,Female,Home,427.84
TXN_1275,20.0,Male,Home,255.15
TXN_1276,37.0,Female,Home,248.08
TXN_1277,41.0,Male,Clothing,302.32
TXN_1278,50.0,Male,Clothing,414.97
TXN_1279,41.0,Male,Home,183.69
TXN_1280,28.0,Male,Home,343.84
TXN_1281,25.0,Male,Home,289.38
TXN_1282,53.0,Female,Books,144.51
TXN_1283,55.0,Male,Clothing,441.14
TXN_1284,57.0,Female,Books,401.75
TXN_1285,37.0,Female,Books,334.35
TXN_1286,52.0,Male,Home,427.53
TXN_1287,42.0,Male,Home,435.64
TXN_1288,52.0,Female,Electronics,358.56
TXN_1289,42.0,Male,Electronics,420.95
TXN_1290,46.0,Male,Books,353.27
TXN_1291,35.0,Female,Clothing,344.87
TXN_1292,63.0,Female,Home,315.03
TXN_1293,35.0,Male,Home,380.07
TXN_1294,19.0,Female,Books,91.92
TXN_1295,52.0,Male,Electronics,442.22
TXN_1296,33.0,Male,Clothing,437.84
TXN_1297,58.0,Male,Electronics,29.18
TXN_1298,53.0,Female,Electronics,415.52
TXN_1299,50.0,Female,Electronics,77.5
TXN_1300,21.0,Female,Electronics,177.53
TXN_1301,50.0,Female,Home,375.6
TXN_1302,31.0,Female,Home,92.97
TXN_1303,38.0,Male,Electronics,411.71
TXN_1304,37.0,Male,Clothing,418.59
TXN_1305,25.0,Male,Books,261.12
TXN_1306,24.0,Male,Clothing,18.1
TXN_1307,20.0,Female,Clothing,154.21
TXN_1308,34.0,Male,Clothing,314.21
TXN_1309,50.0,Female,Electronics,490.88
TXN_1310,29.0,Male,Home,321.43
TXN_1311,39.0,Female,Clothing,141.0
TXN_1312,39.0,Female,Electronics,322.49
TXN_1313,63.0,Male,Clothing,276.89
TXN_1314,47.0,Male,Clothing,393.23
TXN_1315,55.0,Male,Electronics,66.89
TXN_1316,55.0,Male,Home,384.1
TXN_1317,62.0,Female,Home,277.51
TXN_1318,25.0,Male,Books,482.05
TXN_1319,44.0,Male,Electronics,180.81
TXN_1320,44.0,Female,Books,321.82
TXN_1321,51.0,Male,Books,467.03
TXN_1322,38.0,Male,Books,64.72
TXN_1323,47.0,Male,Home,469.56
TXN_1324,50.0,Male,Electronics,348.62
TXN_1325,45.0,Male,Books,47.9
TXN_1326,64.0,Female,Electronics,160.97
TXN_1327,50.0,Male,Electronics,358.46
TXN_1328,22.0,Male,Home,47.67
TXN_1329,36.0,Male,Books,297.35
TXN_1330,21.0,Male,Books,182.75
TXN_1331,52.0,Male,Electronics,316.14
TXN_1332,34.0,Female,Clothing,37.18
TXN_1333,61.0,Male,Home,437.7
TXN_1334,45.0,Female,Home,487.14
TXN_1335,47.0,Female,Home,484.91
TXN_1336,46.0,Male,Home,378.58
TXN_1337,63.0,Male,Books,78.09
TXN_1338,23.0,Male,Books,382.76
TXN_1339,52.0,Male,Clothing,26.92
TXN_1340,58.0,Female,Home,25.73
TXN_1341,54.0,Male,Home,171.95
TXN_1342,41.0,Male,Electronics,251.99
TXN_1343,46.0,Male,Books,388.65
TXN_1344,63.0,Male,Home,346.4
TXN_1345,48.0,Male,Clothing,231.26
TXN_1346,52.0,Male,Clothing,147.71
TXN_1347,50.0,Female,Books,498.61
TXN_1348,38.0,Female,Clothing,221.7
TXN_1349,49.0,Male,Clothing,233.92
TXN_1350,40.0,Male,Books,94.36
TXN_1351,50.0,Male,Home,400.48
TXN_1352,20.0,Female,Home,351.44
TXN_1353,35.0,Male,Clothing,122.07
TXN_1354,42.0,Female,Clothing,54.95
TXN_1355,59.0,Male,Home,345.04
TXN_1356,48.0,Male,Books,332.44
TXN_1357,20.0,Male,Clothing,147.53
TXN_1358,57.0,Male,Electronics,476.17
TXN_1359,63.0,Female,Books,88.26
TXN_1360,41.0,Female,Clothing,224.68
TXN_1361,49.0,Male,Clothing,472.65
TXN_1362,64.0,Male,Electronics,218.57
TXN_1363,39.0,Female,Electronics,324.69
TXN_1364,40.0,Female,Home,207.83
TXN_1365,19.0,Female,Books,147.99
TXN_1366,44.0,Female,Books,492.23
TXN_1367,59.0,Male,Home,213.53
TXN_1368,19.0,Female,Books,448.64
TXN_1369,43.0,Male,Books,126.53
TXN_1370,34.0,Female,Books,118.36
TXN_1371,57.0,Female,Books,30.1
TXN_1372,50.0,Female,Books,331.06
TXN_1373,26.0,Female,Electronics,193.74
TXN_1374,60.0,Female,Books,434.21
TXN_1375,56.0,Male,Electronics,244.51
TXN_1376,46.0,Male,Books,484.57
TXN_1377,59.0,Female,Home,104.98
TXN_1378,43.0,Female,Clothing,436.28
TXN_1379,52.0,Male,Electronics,391.65
TXN_1380,42.0,Female,Books,388.9
TXN_1381,41.0,Female,Home,424.72
TXN_1382,30.0,Male,Clothing,384.1
TXN_1383,24.0,Female,Electronics,318.72
TXN_1384,53.0,Female,Clothing,78.65
TXN_1385,62.0,Male,Home,30.78
TXN_1386,37.0,Male,Electronics,461.61
TXN_1387,18.0,Male,Clothing,314.08
TXN_1388,25.0,Female,Books,401.32
TXN_1389,63.0,Male,Electronics,248.54
TXN_1390,33.0,Male,Clothing,71.89
TXN_1391,31.0,Male,Home,75.72
TXN_1392,29.0,Male,Home,347.5
TXN_1393,40.0,Male,Electronics,223.7
TXN_1394,32.0,Male,Clothing,112.25
TXN_1395,45.0,Female,Electronics,253.42
TXN_1396,51.0,Female,Electronics,46.14
TXN_1397,19.0,Male,Clothing,297.26
TXN_1398,49.0,Male,Clothing,145.46
TXN_1399,40.0,Male,Books,401.82
TXN_1400,39.0,Female,Clothing,165.53
TXN_1401,42.0,Female,Home,235.78
TXN_1402,39.0,Female,Electronics,20.64
TXN_1403,39.0,Female,Electronics,50.14
TXN_1404,59.0,Female,Home,205.36
TXN_1405,23.0,Female,Clothing,247.77
TXN_1406,32.0,Female,Home,306.01
TXN_1407,60.0,Female,Home,156.46
TXN_1408,54.0,Female,Books,352.07
TXN_1409,50.0,Male,Home,432.16
TXN_1410,25.0,Male,Electronics,393.23
TXN_1411,61.0,Male,Home,34.22
TXN_1412,61.0,Male,Electronics,248.05
TXN_1413,22.0,Female,Electronics,65.89
TXN_1414,56.0,Female,Electronics,132.39
TXN_1415,21.0,Male,Clothing,493.53
TXN_1416,23.0,Female,Books,84.11
TXN_1417,62.0,Male,Electronics,256.96
TXN_1418,49.0,Female,Electronics,314.81
TXN_1419,47.0,Male,Clothing,355.7
TXN_1420,64.0,Female,Electronics,286.43
TXN_1421,52.0,Female,Home,19.74
TXN_1422,57.0,Male,Home,173.33
TXN_1423,33.0,Female,Books,266.09
TXN_1424,30.0,Male,Electronics,57.62
TXN_1425,59.0,Male,Clothing,185.05
TXN_1426,47.0,Male,Home,31.1
TXN_1427,36.0,Male,Clothing,53.11
TXN_1428,34.0,Female,Clothing,207.51
TXN_1429,36.0,Female,Home,79.37
TXN_1430,45.0,Female,Clothing,290.26
TXN_1431,43.0,Male,Home,349.39
TXN_1432,54.0,Female,Clothing,403.28
TXN_1433,43.0,Male,Home,112.07
TXN_1434,40.0,Female,Electronics,96.23
TXN_1435,26.0,Female,Books,65.72
TXN_1436,29.0,Female,Home,323.67
TXN_1437,18.0,Male,Home,357.64
TXN_1438,18.0,Female,Books,30.32
TXN_1439,64.0,Female,Home,469.06
TXN_1440,51.0,Male,Home,40.21
TXN_1441,49.0,Female,Clothing,277.53
TXN_1442,42.0,Male,Books,358.89
TXN_1443,57.0,Female,Electronics,437.42
TXN_1444,62.0,Male,Home,361.33
TXN_1445,18.0,Male,Books,403.84
TXN_1446,33.0,Female,Clothing,179.63
TXN_1447,56.0,Male,Electronics,410.19
TXN_1448,22.0,Male,Books,53.86
TXN_1449,39.0,Male,Electronics,448.99
TXN_1450,46.0,Male,Electronics,280.58
TXN_1451,20.0,Male,Electronics,411.39
TXN_1452,29.0,Male,Home,234.37
TXN_1453,43.0,Female,Home,327.14
TXN_1454,33.0,Male,Clothing,270.31
TXN_1455,54.0,Male,Clothing,369.82
TXN_1456,39.0,Female,Books,54.59
TXN_1457,46.0,Female,Clothing,44.27
TXN_1458,31.0,Female,Electronics,134.85
TXN_1459,45.0,Female,Electronics,92.38
TXN_1460,22.0,Female,Home,437.82
TXN_1461,64.0,Female,Electronics,121.32
TXN_1462,47.0,Female,Books,488.29
TXN_1463,63.0,Male,Electronics,178.39
TXN_1464,22.0,Male,Electronics,103.33
TXN_1465,29.0,Female,Books,398.0
TXN_1466,33.0,Male,Clothing,334.47
TXN_1467,43.0,Male,Clothing,256.62
TXN_1468,43.0,Male,Books,284.35
TXN_1469,38.0,Female,Home,363.81
TXN_1470,56.0,Female,Electronics,125.8
TXN_1471,53.0,Male,Books,498.22
TXN_1472,50.0,Female,Electronics,487.77
TXN_1473,47.0,Male,Home,330.41
TXN_1474,54.0,Male,Electronics,111.78
TXN_1475,40.0,Male,Books,344.91
TXN_1476,27.0,Male,Electronics,50.02
TXN_1477,22.0,Female,Clothing,29.87
TXN_1478,53.0,Female,Home,139.98
TXN_1479,51.0,Female,Home,239.37
TXN_1480,48.0,Male,Home,436.11
TXN_1481,27.0,Female,Books,367.68
TXN_1482,36.0,Male,Home,375.21
TXN_1483,49.0,Female,Clothing,221.36
TXN_1484,18.0,Male,Books,182.78
TXN_1485,22.0,Male,Clothing,194.95
TXN_1486,62.0,Male,Electronics,494.01
TXN_1487,21.0,Female,Electronics,34.45
TXN_1488,33.0,Female,Electronics,435.51
TXN_1489,41.0,Female,Electronics,295.66
TXN_1490,33.0,Female,Clothing,227.73
TXN_1491,19.0,Male,Books,366.75
TXN_1492,45.0,Female,Books,251.03
TXN_1493,49.0,Female,Home,438.61
TXN_1494,44.0,Male,Clothing,451.84
TXN_1495,37.0,Male,Electronics,219.53
TXN_1496,41.0,Male,Clothing,149.26
TXN_1497,29.0,Female,Home,302.29
TXN_1498,52.0,Male,Home,457.5
TXN_1499,50.0,Male,Clothing,117.17
